#TLB experiment
#   page size = 4098 bytes
#   max pages = 64
#   total number of references = 1 Mi
#pages	 proc	 sum
4	 0.000915	 1048576
8	 0.000854	 1048576
16	 0.000827	 1048576
32	 0.001233	 1048576
64	 0.001070	 1048576
