#TLB experiment
#   page size = 4098 bytes
#   max pages = 64
#   total number of references = 1 Mi
#pages	 proc	 sum
4	 0.000023	 1048576
8	 0.000011	 1048576
16	 0.000007	 1048576
32	 0.000004	 1048576
64	 0.000002	 1048576
