#TLB experiment
#   page size = 64 bytes
#   max pages = 64
#   total number of references = 1 Mi
#pages	 proc	 sum
4	 0.000856	 1048576
8	 0.000831	 1048576
16	 0.000533	 1048576
32	 0.000453	 1048576
64	 0.000469	 1048576
